Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
110002305000083;8;975;3;21;20;36;31;29;34;36;36;33;26;31;18;15;20;32;11;21;19;20;22;24;23;23;14;27;23;19;11;20;18;15;14;8;15;20;13;13;19;15;18;11;5;7;12;13;7;1;9;5;4;6;4;1;3;4;4;0;2;0;2;0;3;0;0;0;0;2;0;2;1;0;0;0;0;1;297;234;283;5;15;6;8;0;
110002305000084;8;889;5;9;24;22;21;27;18;20;21;19;15;19;18;7;15;14;10;20;21;20;22;22;20;17;16;14;23;19;25;22;15;19;21;16;16;18;17;16;7;13;8;8;9;6;8;12;10;11;5;9;7;7;6;7;5;3;6;1;4;5;3;6;0;3;3;3;1;2;2;2;4;5;2;3;1;9;311;238;200;6;11;10;17;1;
110002305000085;8;179;1;0;2;2;5;5;5;6;5;1;4;3;6;4;2;6;4;5;5;6;3;8;4;4;3;3;5;4;3;2;2;2;2;3;1;5;3;2;1;5;2;2;1;2;2;1;1;1;2;4;1;3;0;0;1;1;1;0;0;0;3;2;0;0;2;0;0;1;2;0;0;0;1;0;1;0;71;52;41;0;0;1;1;0;
110002305000086;8;587;4;6;18;17;19;15;15;33;25;19;20;18;13;9;10;10;10;16;7;7;11;12;7;9;12;11;9;6;17;10;12;11;9;8;11;8;8;9;6;6;8;6;3;7;5;4;7;5;2;4;8;5;6;1;2;0;5;4;3;2;3;0;2;1;1;4;1;2;1;0;0;0;1;0;0;1;176;138;173;5;16;3;6;0;
110002305000087;8;220;0;3;4;3;8;6;6;5;5;10;5;7;9;3;5;6;4;2;5;4;5;3;3;4;2;4;1;8;4;1;2;3;3;3;2;4;6;6;3;5;9;3;1;0;1;1;3;4;3;1;1;2;4;2;1;2;3;1;1;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;67;58;63;0;2;4;6;0;
110002305000088;8;204;0;1;1;4;6;3;4;8;6;5;5;3;5;6;5;3;1;4;7;5;4;8;8;3;3;10;5;2;6;4;2;3;4;2;2;1;3;3;2;3;1;2;5;0;2;2;3;2;3;1;3;4;0;1;0;1;2;2;1;1;0;0;1;1;0;1;0;0;1;1;2;0;0;0;0;1;63;50;61;2;3;3;2;1;
110002305000089;8;202;0;0;6;4;4;11;5;7;5;5;11;2;3;3;2;3;9;2;4;4;3;2;5;4;5;5;2;1;2;5;4;4;3;4;2;0;2;3;3;4;4;3;4;1;0;5;1;1;3;2;4;2;3;1;1;1;1;0;0;1;0;3;0;1;0;1;0;3;0;0;0;0;1;1;0;1;61;48;69;1;3;0;5;0;
110002305000090;8;277;0;1;1;5;7;6;10;7;10;3;9;7;7;4;6;5;7;4;5;4;8;3;2;7;7;3;5;6;5;6;3;7;3;6;6;10;2;4;4;3;3;7;3;3;4;1;4;4;2;5;3;1;1;5;1;7;2;0;1;3;1;2;0;1;2;0;0;0;1;0;0;0;0;0;1;1;85;74;82;1;1;2;9;4;
110002305000091;8;4;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
110002305000092;8;212;1;3;3;5;10;5;12;5;4;4;9;5;5;2;3;3;4;2;3;2;1;4;7;2;2;5;4;3;2;8;5;2;4;6;2;4;2;2;2;4;3;2;6;3;4;0;4;4;1;1;2;0;1;0;3;2;1;0;2;2;1;0;1;1;0;0;1;0;0;1;2;1;0;1;0;1;59;56;63;1;0;1;9;0;
