Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
260790120000014;1;897;4;13;7;14;16;9;11;20;15;11;12;17;8;8;7;16;10;13;16;13;24;26;22;22;16;27;13;20;17;21;15;18;19;15;20;15;13;14;9;8;10;10;7;13;8;13;12;9;12;13;11;10;14;14;13;15;11;12;9;4;10;8;5;12;7;5;4;6;4;3;2;2;2;5;2;6;321;179;260;14;27;11;28;0;
260790120000015;1;777;4;11;10;7;18;17;8;12;12;19;12;20;13;21;8;19;31;16;12;11;12;18;16;20;19;17;16;19;20;13;10;10;18;18;13;9;11;8;23;12;5;13;14;6;11;12;10;12;10;10;5;7;5;6;8;7;4;2;3;4;5;2;8;5;2;1;4;1;2;1;1;1;2;2;1;2;257;157;218;16;21;8;28;9;
260790120000016;1;1260;17;13;23;14;24;39;26;26;30;27;38;22;23;23;21;28;27;25;17;20;25;19;26;30;27;34;31;31;20;23;20;19;19;14;24;25;16;22;20;19;19;17;23;25;22;16;18;9;16;22;12;9;15;7;1;10;7;3;10;2;7;2;3;4;3;5;5;2;3;2;0;0;2;1;2;9;411;252;406;14;30;28;27;0;
260790120000017;1;501;3;9;5;7;7;8;9;13;10;11;16;9;17;9;14;15;8;11;14;14;16;16;11;13;14;10;8;12;12;12;5;3;9;6;8;4;10;6;10;6;9;10;5;5;5;7;4;4;3;5;7;3;1;2;5;2;3;1;2;1;2;1;2;1;0;2;2;1;1;0;1;1;0;0;1;2;160;113;162;2;17;9;6;0;
260790120000018;1;818;5;5;12;18;17;14;9;16;12;17;17;12;11;12;21;14;17;24;21;14;20;18;17;28;22;22;20;14;10;13;12;13;6;18;10;13;16;11;9;6;14;12;8;13;19;26;11;9;10;15;15;4;5;12;11;3;3;3;3;4;6;3;5;1;2;2;3;2;1;1;0;4;1;0;0;1;301;173;245;4;14;10;12;0;
260790120000019;1;895;3;6;9;12;9;10;19;8;8;12;8;10;18;11;13;16;16;24;24;21;17;24;25;20;21;16;27;20;22;21;14;14;20;15;14;15;13;13;18;11;16;10;17;14;21;19;19;25;17;13;9;12;12;8;10;7;3;2;4;6;4;4;5;2;1;2;1;1;0;4;0;0;0;1;3;6;347;203;247;14;12;9;23;0;
260790120000020;1;3420;26;40;57;61;75;77;73;74;80;78;84;70;69;85;75;64;76;78;68;74;70;58;69;68;67;77;74;86;83;86;76;58;77;63;44;74;63;67;54;46;66;58;36;32;33;46;30;31;32;24;35;27;16;25;12;22;11;11;12;13;7;11;11;6;5;4;2;11;6;6;2;5;2;0;3;23;1102;808;1000;26;73;38;84;11;
260790120000021;1;544;5;5;9;6;2;8;7;5;8;10;8;8;9;9;7;12;16;10;14;15;14;12;7;18;12;7;8;16;18;6;8;11;13;12;9;15;9;8;10;9;13;6;9;6;4;10;5;6;7;6;5;10;6;5;4;3;4;4;3;1;3;0;3;5;1;4;3;2;0;2;1;1;1;1;0;5;192;129;148;8;14;5;13;1;
260790120000022;1;1016;8;13;9;21;15;18;11;9;9;8;13;15;12;12;12;15;10;22;18;17;24;20;16;24;32;24;17;22;23;19;18;21;15;19;24;13;16;20;10;10;11;9;9;9;13;11;15;10;18;20;16;18;9;13;18;20;14;18;12;11;11;6;8;7;8;6;1;3;6;2;3;6;3;4;2;12;336;223;278;23;33;15;39;0;
260790120000023;1;1173;17;10;13;19;13;15;14;16;11;13;17;12;17;11;18;22;21;21;26;24;26;30;36;26;26;25;24;31;33;23;17;22;11;13;20;13;14;13;17;12;19;15;14;17;18;13;20;16;15;17;20;22;22;11;15;24;14;16;20;9;10;6;5;6;6;2;2;2;4;2;3;5;4;2;3;12;414;276;325;16;29;10;29;0;
260790120000024;1;771;8;8;12;8;12;11;17;18;7;9;10;12;10;7;15;10;13;18;12;12;18;18;29;19;21;23;16;19;16;10;12;17;19;16;14;12;6;7;11;15;7;3;11;7;7;4;6;11;9;12;16;12;11;8;10;13;5;11;3;11;9;5;7;4;4;2;2;3;0;0;1;1;1;1;1;6;272;185;182;11;31;14;23;0;
260790120000025;1;882;4;9;14;13;15;13;13;15;14;20;7;9;12;14;8;10;9;21;17;9;17;17;15;23;25;11;15;18;22;18;16;14;15;11;17;14;14;7;16;18;20;9;7;5;7;9;10;15;11;10;13;9;10;17;15;11;16;7;8;9;12;4;7;7;5;8;6;4;3;8;3;3;1;4;0;20;287;171;265;12;40;14;33;2;
260790120000026;1;583;3;3;13;13;9;11;16;12;10;9;6;7;9;9;9;15;10;15;14;10;20;13;5;27;24;22;16;19;8;5;13;13;7;8;11;6;6;6;7;6;16;8;10;6;8;7;14;8;5;4;6;3;5;1;5;5;5;2;3;1;2;3;0;0;2;1;2;0;2;0;1;1;1;0;0;1;227;139;140;3;13;7;10;3;
